Species,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,,Species,Plantation,Open Heathland,Ancient Caledonian,,,,P1,P2,P3,,O1,O2,O3,,C1,C2,C3,,,Plantation,Open,Cale
Gallinula chloropus_Eurasian Moorhen,0,0,0,0,0,0,0,0,0,,Gallinula chloropus_Eurasian Moorhen,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Garrulus glandarius_Eurasian Jay,0,0,0,0,0,0,0,0,0,,Garrulus glandarius_Eurasian Jay,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Gavia arctica_Arctic Loon,0,0,0,0,0,0,0,0,0,,Gavia arctica_Arctic Loon,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Gavia immer_Common Loon,0,0,0,0,0,0,0,0,0,,Gavia immer_Common Loon,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Gavia stellata_Red-throated Loon,0,0,0,0,0,0,0,0,0,,Gavia stellata_Red-throated Loon,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Haematopus ostralegus_Eurasian Oystercatcher,0,0,0,0,0,0,0,0,0,,Haematopus ostralegus_Eurasian Oystercatcher,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Haliaeetus albicilla_White-tailed Eagle,0,0,0,0,0,0,0,0,0,,Haliaeetus albicilla_White-tailed Eagle,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Hirundo rustica_Barn Swallow,0,0,0,0,0,0,0,0,0,,Hirundo rustica_Barn Swallow,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Histrionicus histrionicus_Harlequin Duck,0,0,0,0,0,0,0,0,0,,Histrionicus histrionicus_Harlequin Duck,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Hydrobates pelagicus_European Storm-Petrel,0,0,0,0,0,0,0,0,0,,Hydrobates pelagicus_European Storm-Petrel,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Hydrocoloeus minutus_Little Gull,0,0,0,0,0,0,0,0,0,,Hydrocoloeus minutus_Little Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Ichthyaetus melanocephalus_Mediterranean Gull,0,0,0,0,0,0,0,0,0,,Ichthyaetus melanocephalus_Mediterranean Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Lagopus lagopus_Willow Ptarmigan,0,0,0,0,0,0,0,0,0,,Lagopus lagopus_Willow Ptarmigan,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Lagopus muta_Rock Ptarmigan,0,0,0,0,0,0,0,0,0,,Lagopus muta_Rock Ptarmigan,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Larus argentatus_Herring Gull,0,0,0,0,0,0,0,0,0,,Larus argentatus_Herring Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Larus canus_Common Gull,0,0,0,0,0,0,0,0,0,,Larus canus_Common Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Larus fuscus_Lesser Black-backed Gull,0,0,0,0,0,0,0,0,0,,Larus fuscus_Lesser Black-backed Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Larus glaucoides_Iceland Gull,0,0,0,0,0,0,0,0,0,,Larus glaucoides_Iceland Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Larus hyperboreus_Glaucous Gull,0,0,0,0,0,0,0,0,0,,Larus hyperboreus_Glaucous Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Larus marinus_Great Black-backed Gull,0,0,0,0,0,0,0,0,0,,Larus marinus_Great Black-backed Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Limosa lapponica_Bar-tailed Godwit,0,0,0,0,0,0,0,0,0,,Limosa lapponica_Bar-tailed Godwit,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Limosa limosa_Black-tailed Godwit,0,0,0,0,0,0,0,0,0,,Limosa limosa_Black-tailed Godwit,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Linaria cannabina_Eurasian Linnet,0,0,0,0,0,0,0,0,0,,Linaria cannabina_Eurasian Linnet,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Linaria flavirostris_Twite,0,0,0,0,0,0,0,0,0,,Linaria flavirostris_Twite,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Locustella naevia_Common Grasshopper-Warbler,0,0,0,0,0,0,0,0,0,,Locustella naevia_Common Grasshopper-Warbler,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
